iid,Name,Category,Description,Latitude,Longitude,Founded Year,Total Money Raised,Raised Amount,Currency,Address,Zip code,City
366,52cdef7c4bab8bd675297ea7,Mokitown,web,,37.09024,-95.712891,2011.0,$0,0.0,0,,,
602,52cdef7c4bab8bd675297f78,CircleUp,finance,Equity-based Crowdfunding,,,2011.0,$9M,9000000.0,USD,,,San Francisco
625,52cdef7c4bab8bd675297f94,PeekYou,search,,40.757929,-73.985506,2012.0,$1.83M,1825000.0,USD,,,New York
637,52cdef7c4bab8bd675297f9e,GENWI,mobile,Cloud Publishing for Mobile,33.8171,-111.9035,2010.0,$7.1M,7100000.0,USD,4966 El Camino Real,94022,Los Altos
661,52cdef7c4bab8bd675297fb1,headr,web,Free Facebook video chat app.,52.5013449,13.4109071,2012.0,$0,0.0,0,Ritterstr. 12-14,10969,Berlin
662,52cdef7c4bab8bd675297fb1,headr,web,Free Facebook video chat app.,,,2012.0,$0,0.0,0,Fischerstr. 13,30167,Hannover
714,52cdef7c4bab8bd675297fec,Fixya,web,Tech Support Community,37.566879,-122.323895,2013.0,$8M,8000000.0,USD,One Franklin Parkway,94401,San Mateo
739,52cdef7c4bab8bd675298009,Mobovivo,mobile,Second screen apps for TV and sports.,,,2009.0,C$1M,1000000.0,CAD,1400 700 2nd St SW,T2P 4V5,Calgary
779,52cdef7c4bab8bd675298038,alluc,games_video,,53.707739,10.023246,2009.0,$0,0.0,0,Stormarnstrasse 4,22844,Norderstedt
1177,52cdef7c4bab8bd6752981a0,Pinger,messaging,,,,2012.0,$18.5M,18500000.0,USD,97 S. 2nd Street,95113,San Jose
1228,52cdef7c4bab8bd6752981d8,Widgetbox,other,Application creation and distribution,37.798853,-122.398599,2012.0,$14.5M,14500000.0,USD,,94111,San Francisco
1233,52cdef7c4bab8bd6752981dc,RazorGator,ecommerce,online ticket reselling,34.047312,-118.445243,2011.0,$58.8M,58800000.0,USD,11150 Santa Monica Blvd. Suite 500,90025,Los Angeles
1516,52cdef7c4bab8bd67529830a,Fluc,hospitality,Your Favorite Food. Delivered Instantly.,37.454701,-122.1853756,2013.0,$0,0.0,0,1259 El Camino Real,94025,Menlo Park
1538,52cdef7c4bab8bd67529831a,Social Gaming Network,games_video,social gaming platform,37.446823,-122.161523,2011.0,$17.1M,17100000.0,USD,9570 W. Pico Blvd 3rd Floor,90035,Los Angeles
1539,52cdef7c4bab8bd67529831a,Social Gaming Network,games_video,social gaming platform,34.0698494,-118.4054182,2011.0,$17.1M,17100000.0,USD,9606 S. Santa Monica Blvd,90210,Beverly Hills
1580,52cdef7c4bab8bd675298347,YouNoodle,analytics,Competitions for startups,37.7766587,-122.395875,2010.0,$0,0.0,,330 Townsend St,94107,San Francisco
1987,52cdef7c4bab8bd6752984f4,Crootpad,games_video,Educational Games,42.091078,-88.288749,2009.0,$0,0.0,0,,60118,West Dundee
2004,52cdef7c4bab8bd675298509,Skydeck,mobile,photos social mobile messaging,37.5645375,-122.3254705,2012.0,$4M,4000000.0,USD,330 Waverley St.,94301,Palo Alto
2027,52cdef7c4bab8bd675298523,Simplicant,software,Next-gen cloud-based recruiting platform,,,2012.0,$0,0.0,0,,94403,Palo Alto
2073,52cdef7c4bab8bd675298555,Ninite,enterprise,Application Distribution platform,37.789349,-122.412893,2009.0,$0,0.0,,955 Bush St.,94109,San Francisco
2142,52cdef7c4bab8bd675298591,Handipoints,games_video,Chore point system for kids,37.772323,-122.214897,2009.0,$800k,800000.0,USD,,,Oakland
2299,52cdef7c4bab8bd675298608,Magento,ecommerce,eCommerce Platform,34.052187,-118.243425,2010.0,$22.5M,22500000.0,USD,,,Los Angeles
2370,52cdef7c4bab8bd67529865e,TeamSnap,mobile,sports teams online,,,2009.0,$5.08M,5077276.0,USD,1035 Pearl St.,80302,Boulder
2870,52cdef7c4bab8bd67529886d,Macroaxis,software,Financial Engineering Platform,37.7896292,-122.3998782,2009.0,$0,0.0,0,71 Stevenson Street,94105,San Francisco
3022,52cdef7d4bab8bd67529891c,Springleap,advertising,Brand creative social media campaigns,,,2012.0,$0,0.0,0,"42 Kloof St, 4th Flr Earlgo, Cnr Kloof St and Park St,",8005,Cape Town
3071,52cdef7d4bab8bd67529894b,Jumbuck Entertainment,mobile,,-37.817748,144.962991,2012.0,$0,0.0,0,"Level 5, 347 Flinders Lane",,Melbourne
3108,52cdef7d4bab8bd675298970,Pixsta,web,Visual Search for ecommerce,51.51819,-0.208979,2010.0,£3M,3000000.0,,9 Thorpe Close,W10 5XL,London
3212,52cdef7d4bab8bd6752989f3,FirstString,search,Prep Sports Hyperlocal Search,34.052187,-118.243425,2011.0,$200k,200000.0,USD,,,Los Angeles
3303,52cdef7d4bab8bd675298a4d,Fuzz,games_video,People Powered Radio,37.760524,-122.387799,2011.0,$0,0.0,,"3979 Freedom Circle, Suite 610",95054,Santa Clara
3771,52cdef7d4bab8bd675298c70,OneScreen,games_video,Digital video solutions partner,,,2009.0,$0,0.0,0,"310 Commerce, Suite 200",92602,Irvine
3881,52cdef7d4bab8bd675298ce2,BrandYourself,web,Take Control of Your Own Search Results,42.275263,-71.24762,2009.0,$1.5M,1500000.0,USD,120 Walker St,10013,New York
3903,52cdef7d4bab8bd675298cff,CollegeConvo,web,College Life Online,40.650291,-74.294395,2010.0,$0,0.0,0,,91411,Van Nuys
4061,52cdef7d4bab8bd675298da5,Carfeine,software,Big data automotive marketing platform,38.989124,-77.026676,2012.0,$0,0.0,0,10411 Motor City Drive,20817,Bethesda
4079,52cdef7d4bab8bd675298dba,Ziippi,web,,37.4440981,-122.1612868,2011.0,$0,0.0,,228 Hamilton Avenue,94301,Palo Alto
4083,52cdef7d4bab8bd675298dc1,Vusion,games_video,end-to-end video distribution solutions,37.412069,-121.900366,2009.0,$0,0.0,,1375 McCandless Drive,95035,Milpitas
4096,52cdef7d4bab8bd675298dcc,Titan Gaming,games_video,,53.544711,-113.515769,2010.0,$1M,1000000.0,USD,"1351 4th Street, 4th floor",90401,Santa Monica
4278,52cdef7d4bab8bd675298eb1,BitRock,software,,37.78424,-122.274771,2009.0,$0,0.0,0,"1151 Marina Village Pkwy,",94501,Alameda
4389,52cdef7d4bab8bd675298f32,Mousebreaker,games_video,Online Game Website,,,2011.0,$0,0.0,0,Hargate House Farm,DE65 5FJ,Hilton
4416,52cdef7d4bab8bd675298f55,Pixelmatic,games_video,Social Mobile Games,49.263588,-123.138565,2011.0,$0,0.0,0,,,Vancouver
4417,52cdef7d4bab8bd675298f55,Pixelmatic,games_video,Social Mobile Games,,,2011.0,$0,0.0,0,,,Shanghai
4449,52cdef7d4bab8bd675298f74,SiSense,analytics,Big Data Analytics,,,2010.0,$10M,10000000.0,USD,36 Hanamal st.,,Tel Aviv
4450,52cdef7d4bab8bd675298f74,SiSense,analytics,Big Data Analytics,,,2010.0,$10M,10000000.0,USD,14 Wall Street,,NYC
